Screen Name,Statuses,Followers,Friends,Philanthropic Impact Score,Mentioned Key Words,Twitter Score,Impact Indicator,Profile,Description,Tags Mentioned,Users Mentioned,prediction
willmacaskill,524,4186,175,79.52080796150844,False,83.79505176,False,https://pbs.twimg.com/profile_images/3623300768/2ee14b74a445f4cb031a093a4524d9d2_normal.jpeg,"Associate Professor in Philosophy, Oxford University; cofounder of 80,000 Hours & Giving What We Can; author of Doing Good Better,a guide to effective altruism.",None,None,Hot 🔥🔥🔥
AuswaertigesAmt,12567,405577,916,79.50356626136802,False,87.95951624,False,https://pbs.twimg.com/profile_images/747798022797537282/E_swszH5_normal.jpg,Aktuelle Nachrichten aus dem Auswärtigen Amt - Auf Englisch: @GermanyDiplo - Impressum: https://t.co/hDOLfIIbLM,None,GermanyDiplo,Hot 🔥🔥🔥
UNESCO_es,6159,326309,3339,79.46584599538055,False,87.76860443000001,False,https://pbs.twimg.com/profile_images/725325213060227072/w-XVBm4N_normal.jpg,"Cuenta oficial de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO). Siga a nuestra Directora General en @IrinaBokova",None,IrinaBokova,Hot 🔥🔥🔥
newmuseum,10951,255433,908,79.41711883226955,False,87.67094294,False,https://pbs.twimg.com/profile_images/643540976552812545/GPCFunmo_normal.jpg,"New Art, New Ideas",None,None,Hot 🔥🔥🔥
ITU,10453,48947,1587,79.41103640167061,False,82.12958098,False,https://pbs.twimg.com/profile_images/542650587188195329/ivPhnfB2_normal.png,"@UN ICT agency, connecting the world through #spectrum management, brokering #standards + bridging the #DigitalDivide","spectrum, standards, DigitalDivide",UN,Hot 🔥🔥🔥
DLanceBlack,3072,61561,845,79.39863747020706,False,87.01964007000001,False,https://pbs.twimg.com/profile_images/593073644458225664/6yZzkNvH_normal.jpg,Filmmaker / Social Activist / Trouble Maker / Oscar Owner. This is the official DLB twitter account. Thanks for following!,None,None,Hot 🔥🔥🔥
Amazing_Maps,1472,270769,1,79.39621972737805,False,88.46973189,False,https://pbs.twimg.com/profile_images/670261890233311232/AI4OcoZM_normal.jpg,The original Twitter map account- bringing you the most amazing maps on the internet! // Business - mapsareamazing@gmail.com,None,None,Hot 🔥🔥🔥
mozilla,8649,167003,2712,79.38048422101687,False,86.84681172,False,https://pbs.twimg.com/profile_images/576067580219146242/ON0VuHtK_normal.png,A non-profit with one mission: defend the free and open web.,None,None,Hot 🔥🔥🔥
WorldResources,24024,128384,11110,79.36920164332035,False,77.53591766,False,https://pbs.twimg.com/profile_images/453600188108533760/jUKVBB--_normal.png,"Climate change, energy, food, forests, water, sustainable cities, governance, finance, business, economics. Tweet/Like ≠ endorsement. Tweets by @lauraleedooley",None,lauraleedooley,Hot 🔥🔥🔥
CapitalOne,16889,143307,414,79.28988083059497,False,86.24812883,False,https://pbs.twimg.com/profile_images/719635675696492549/7p3gtPJ6_normal.jpg,"We're on a mission for our customers—bringing them great products, rewards and service.
http://t.co/F6gAqIA3Wo",None,None,Hot 🔥🔥🔥
UNICEFpalestine,1546,8562,95,79.27462392943941,False,84.38150162,False,https://pbs.twimg.com/profile_images/486499649855827969/5---yRXr_normal.jpeg,UNICEF helps build a world where the rights of every child and adolescent are realized. Join us.,None,None,Hot 🔥🔥🔥
mariannethyssen,1363,16549,154,79.27454133342604,False,86.61051694000001,False,https://pbs.twimg.com/profile_images/516945843807477761/glVxStPq_normal.jpeg,"European Commissioner for Employment, Social Affairs, Skills and Labour Mobility",None,None,Hot 🔥🔥🔥
reidhoffman,1345,380682,528,79.25275997734904,False,88.40657723000001,False,https://pbs.twimg.com/profile_images/468539219275567105/sKdoFXJ5_normal.jpeg,Entrepreneur. Investor. Strategist.,None,None,Hot 🔥🔥🔥
lisaling,6742,221447,744,79.22472831151836,False,87.85768736,False,https://pbs.twimg.com/profile_images/635933249236107265/RhbvQphc_normal.jpg,Exec. Producer and Host of THIS IS LIFE on CNN. Season 2 returns 9/30/2015 at 9PM Instagram: lisalingstagram FB: http://t.co/EvdOQ8j9I3,None,None,Hot 🔥🔥🔥
RevenantMovie,410,39761,39,79.1957645045161,False,88.30480419000001,False,https://pbs.twimg.com/profile_images/707993762773884929/VbxLqLqF_normal.jpg,"#TheRevenant, starring @LeoDiCaprio, Tom Hardy, @PoulterWill, & directed by Academy Award winner Alejandro G. Iñárritu. NOW ON BLU-RAY™, DVD & DIGITAL HD.",TheRevenant,"LeoDiCaprio, PoulterWill",Hot 🔥🔥🔥
Mets,43677,570925,1339,79.18112563384446,False,87.06841823,False,https://pbs.twimg.com/profile_images/748947687358083072/h3wSwNJI_normal.jpg,Official Twitter of the New York Mets,None,None,Hot 🔥🔥🔥
Lavernecox,15135,566628,2217,79.15093967916937,False,87.87940646,False,https://pbs.twimg.com/profile_images/725664538369073153/zOOc_BXt_normal.jpg,"Actress, Producer, I play Sophia on The Netflix series Orange Is the New Black.",None,None,Hot 🔥🔥🔥
Chase,19666,322550,4846,79.14560677074249,False,86.68806871,False,https://pbs.twimg.com/profile_images/748885874516094980/ywt_aKRx_normal.jpg,"Official handle for Chase, managed by Mere (^MK) and Jess (^JS). For customer support, Tweet @ChaseSupport. https://t.co/co5RnmqJXe",None,ChaseSupport,Hot 🔥🔥🔥
DAPennebaker,207,1392,58,79.13490967236385,False,83.18644415,False,https://pbs.twimg.com/profile_images/471668357029036032/oE_nEwXn_normal.jpeg,One half of the documentary duo Pennebaker Hegedus @PHFilms. Our new film is @UTCFilm.,None,"PHFilms, UTCFilm",Hot 🔥🔥🔥
kickstarter,14595,1083658,1104,79.13367287186274,False,88.23705480000001,False,https://pbs.twimg.com/profile_images/616263122790125568/yDDiMuf6_normal.png,"Bringing creative projects to life! ♥ 
See what's happening: https://t.co/nEqsG51KxS",None,None,Hot 🔥🔥🔥
MalalaFund,8557,470301,466,79.11385919260277,False,88.15602731000001,False,https://pbs.twimg.com/profile_images/649942098687365125/urESBy0O_normal.png,The Malala Fund is the official organisation led by Malala Yousafzai focused on helping girls go to school and raise their voices for the right to education.,None,None,Hot 🔥🔥🔥
BronxZoosCobra,452,163692,3,79.08938313089874,False,88.44895773,False,https://pbs.twimg.com/profile_images/1296024799/TWITTER-DEFAULT_2__normal.jpg,I'm an Egyptian cobra back from being out on the town. BronxZoosCobra@gmail.com,None,None,Hot 🔥🔥🔥
GA,15326,98891,5026,79.04127328084374,False,82.33227437000001,False,https://pbs.twimg.com/profile_images/616323696601468930/SkNd2ppU_normal.png,"Transforming thinkers into creators through education & opportunities in tech, business, & design. Connect locally: https://t.co/q5XZpqm5bz",None,None,Hot 🔥🔥🔥
GirlsWhoCode,3811,178178,1885,79.01520867924543,False,87.6148331,False,https://pbs.twimg.com/profile_images/743148963402915841/gDqd6Y6p_normal.jpg,We're girls who code and together we're closing the gender gap in technology! Learn what it's like to be a girl who codes on our blog (link below)!,None,None,Hot 🔥🔥🔥
Claire,13471,336460,1129,79.01000123553736,False,87.64580286,False,https://pbs.twimg.com/profile_images/1341935987/clairebioshotwebsmall_normal.jpeg,"early Twitter employee gal, author of books with pages, Stanford & Oxford sweatshirt wearer, MBA who's bad at math, nonprofit founder, mama to @lucia",None,lucia,Hot 🔥🔥🔥
MoMAPS1,5305,239548,532,78.99928276846214,False,88.00718364000001,False,https://pbs.twimg.com/profile_images/1299639440/thumb-2_normal.jpg,"MoMA PS1, a part of @MuseumModernArt, is an innovative space devoted to exhibiting the most challenging, and thought-provoking contemporary art today.",None,MuseumModernArt,Hot 🔥🔥🔥
RonanFarrow,6844,317014,2358,78.99349264649251,False,87.7620672,False,https://pbs.twimg.com/profile_images/627504688611610624/0Ej34t6a_normal.jpg,"Reporter, NBC News. Former undiplomatic diplomat, State Dept. Bad lawyer. https://t.co/Xy0zDwgLrF | https://t.co/PMWVwf12Ry",None,None,Hot 🔥🔥🔥
HeforShe,3984,327474,1028,78.96015409283763,False,88.12202167000001,False,https://pbs.twimg.com/profile_images/687660394467360768/iSDyV0rm_normal.png,@UN_Women's Solidarity Movement for Gender Equality. https://t.co/eFiRbT3SMd,None,UN_Women,Hot 🔥🔥🔥
laurenepowell,205,15555,78,78.94925612506819,False,88.01575687,False,https://pbs.twimg.com/profile_images/656175279870603264/527I9RKw_normal.jpg,"Advocate, Idealist, Springsteen Fan, President, @EmCollective; Founder, @CollegeTrack; Chair, @XQAmerica",None,"EmCollective, CollegeTrack, XQAmerica",Hot 🔥🔥🔥
UNICEFuruguay,1594,24788,413,78.93268520037121,False,86.49257589,False,https://pbs.twimg.com/profile_images/592672875179548672/LKItSmg0_normal.jpg,UNICEF trabaja en Uruguay desde 1992 para promover los derechos de todos los niños y adolescentes y generar oportunidades para que desarrollen sus capacidades.,None,None,Hot 🔥🔥🔥
DeutscheBank,8250,548041,216,78.93238148123869,False,88.19835824,False,https://pbs.twimg.com/profile_images/472463469556416513/KlKUMZtb_normal.jpeg,"Information & dialogue on #finance & #economics
Netiquette: https://t.co/FvNMEVEdNT
#SocialMedia: https://t.co/eElffvJ32b
$DB #dbresearch #CIOView","finance, economics, SocialMedia, dbresearch, CIOView",None,Hot 🔥🔥🔥
onambiguity,3161,644733,840,78.90792850967142,False,88.31668209,False,https://pbs.twimg.com/profile_images/749758188669444096/HJR9P-ez_normal.jpg,"tech, burner, drifter. loves everyone.",None,None,Hot 🔥🔥🔥
brooklynmuseum,8883,614142,1615,78.89871470576777,False,88.09513904,False,https://pbs.twimg.com/profile_images/747067111122567168/sCP-22ds_normal.jpg,Enjoy our current exhibitions #disguisebkm #boomboxbkm #stephenpowers and #agitpropbkm. Questions and comments via @replies are welcome.,"disguisebkm, boomboxbkm, stephenpowers, agitpropbkm",replies,Hot 🔥🔥🔥
Jubaland,300,10455,47,78.89619501744666,False,87.76788440000001,False,https://pbs.twimg.com/profile_images/456572024299601921/yZ5SaXRc_normal.jpeg,The Official Account of Jubaland State of Somalia.,None,None,Hot 🔥🔥🔥
Isabelwilkerson,1493,7117,176,78.88774640331938,False,82.69068284000001,False,https://pbs.twimg.com/profile_images/378800000410908680/553937d8f86eed36e3389422cfad7c07_normal.jpeg,"Author of The Warmth of Other Suns, about the search for freedom during the Great Migration, a watershed in American history.",None,None,Hot 🔥🔥🔥
Davos,25560,457352,930,78.88367284840692,False,87.40219583000001,False,https://pbs.twimg.com/profile_images/689479051841372160/brN1Bg7W_normal.png,The livetweet/automated account of the World Economic Forum. Follow @wef for our main account. Annual Meeting hashtag: #wef,wef,wef,Hot 🔥🔥🔥
gilbertogil,10505,2001352,438,78.86221295166168,False,88.35193910000001,False,https://pbs.twimg.com/profile_images/656176378774224896/Ow_QLb7T_normal.jpg,Twitter oficial do cantor e compositor Gilberto Gil atualizado pela sua equipe de comunicação,None,None,Hot 🔥🔥🔥
NPRextra,10071,533376,1035,78.8619708408937,False,88.04648541,False,https://pbs.twimg.com/profile_images/623874833068236800/eN5WiO7i_normal.png,An extra dose of @NPR: the stories behind the stories plus corporate news and announcements.,None,NPR,Hot 🔥🔥🔥
SavetheChildren,19843,1617369,5925,78.84619597069326,False,88.07132072,False,https://pbs.twimg.com/profile_images/724940781446901766/r4ucJHek_normal.jpg,"We invest in childhood–every day, in times of crisis & for our future. We give children a healthy start, the opportunity to learn & protection from harm.",None,None,Hot 🔥🔥🔥
hgse,6276,103496,130,78.84216807255798,False,87.34657658,False,https://pbs.twimg.com/profile_images/3222291276/7e5b2cc0751e99c15ff5d364140bdd8e_normal.png,The official Twitter feed of the Harvard Graduate School of Education,None,None,Hot 🔥🔥🔥
TheWolfofWallSt,272,48415,26,78.8239833633838,False,88.32404889,False,https://pbs.twimg.com/profile_images/445948674518941697/EVvnU9Aq_normal.png,"From Academy Award winning director Martin Scorsese comes The Wolf of Wall Street, starring Leonardo DiCaprio. Own it today on Blu-ray & Digital HD!",None,None,Hot 🔥🔥🔥
CITES,2558,23357,147,78.8187455571126,False,86.1344894,False,https://pbs.twimg.com/profile_images/477342274917892096/xmHPymNC_normal.png,Regulating the world's #wildlife trade since 1975. Tweets and RTs ≠ endorsements.,wildlife,None,Hot 🔥🔥🔥
repjohnlewis,1576,184042,165,78.81802661558771,False,88.25741159,False,https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg,"Congressman, Georgia's Fifth Congressional District",None,None,Hot 🔥🔥🔥
okgo,4392,1226003,127,78.81763215095329,False,88.37483665,False,https://pbs.twimg.com/profile_images/696884733008072704/iNwKsiY8_normal.jpg,Our new video for Upside Down & Inside Out is available here: https://t.co/kq8uBFtE19,None,None,Hot 🔥🔥🔥
jack,19986,3732655,2060,78.8090386192277,False,88.32356169,False,https://pbs.twimg.com/profile_images/668328458519384064/FSAIjKRl_normal.jpg,,None,None,Hot 🔥🔥🔥
LastWeekTonight,3575,1246909,343,78.80805987689831,False,88.37639863999999,False,https://pbs.twimg.com/profile_images/458731297154686976/DNEEDoar_normal.jpeg,Breaking news on a weekly basis. #LastWeekTonight with John Oliver (@iamjohnoliver) Sundays at 11PM on @HBO.,LastWeekTonight,"iamjohnoliver, HBO",Hot 🔥🔥🔥
khanacademy,1520,509388,140,78.80554337815798,False,88.37404704000001,False,https://pbs.twimg.com/profile_images/576480569028009984/YWq8EwXd_normal.png,"Working to make a free, world-class education available for anyone, anywhere. And having fun while doing it.",None,None,Hot 🔥🔥🔥
SusanSarandon,4623,403465,292,78.80239163696676,False,88.21467244000002,False,https://pbs.twimg.com/profile_images/686633235393163266/cq_ikTmA_normal.jpg,"Mother, activist, actress and ping pong propagandist at @WeAreSPiN",None,WeAreSPiN,Hot 🔥🔥🔥
Pinterest,7593,2285783,380,78.7996425294653,False,88.37233149,False,https://pbs.twimg.com/profile_images/622086313764745216/T3KEBemO_normal.png,"Pinterest is the world’s catalog of ideas. Find and save recipes, parenting hacks, style inspiration and other ideas to try. 
Need help? https://t.co/DEwfjfI3cj",None,None,Hot 🔥🔥🔥
EllenPage,3494,1393240,481,78.79805920363346,False,88.37681950000001,False,https://pbs.twimg.com/profile_images/638018142124380164/cXYWD2rl_normal.jpg,I am a tiny Canadian.,None,None,Hot 🔥🔥🔥
GreenpeaceArg,30975,423333,1339,78.79489890557055,False,87.00677426000001,False,https://pbs.twimg.com/profile_images/713384667811090436/VLGJMOvQ_normal.jpg,"Somos una organización ecologista internacional, económica y políticamente independiente, que no acepta donaciones ni presiones de gobiernos o empresas.",None,None,Hot 🔥🔥🔥
paulocoelho,31005,11076008,221,78.79327893617545,False,88.38616103,False,https://pbs.twimg.com/profile_images/665636052787294208/ukeN0651_normal.jpg,Writer ( https://t.co/d8dQ56k9Oq ),None,None,Hot 🔥🔥🔥
GaelGarciaB,5160,2232644,476,78.79172303839839,False,88.38475258,False,https://pbs.twimg.com/profile_images/674016770/Siesta_normal.jpg,Pachanga y su banda en pesero,None,None,Hot 🔥🔥🔥
EmWatson,1413,22238126,281,78.78730600519852,False,88.42909701,False,https://pbs.twimg.com/profile_images/711235710070755329/iV9iortC_normal.jpg,"British actress, Goodwill Ambassador for UN Women",None,None,Hot 🔥🔥🔥
RedHourBen,2775,5128419,283,78.78708816837137,False,88.41945669,False,https://pbs.twimg.com/profile_images/1237591832/IMG_0016_normal.JPG,"The real Ben Stiller. Sort of, whatever real means. @RedHourFilms",None,RedHourFilms,Hot 🔥🔥🔥
POTUS,276,8903001,73,78.7867050619012,False,88.42969846000001,False,https://pbs.twimg.com/profile_images/600314410003865600/laIuu4bB_normal.jpg,"Dad, husband, and 44th President of the United States. Tweets may be archived: http://t.co/eVVzoATsAR.",None,None,Hot 🔥🔥🔥
Alwaleed_Talal,210,4983188,31,78.78667281841497,False,88.4296076,False,https://pbs.twimg.com/profile_images/612943596656824320/AE1KuVgT_normal.png,"Chairman of the Board of @Kingdom_KHC, Chairman of the Board of @Alwaleed_Philan, Citizen of Saudi Arabia.",None,"Kingdom_KHC, Alwaleed_Philan",Hot 🔥🔥🔥
LeoDiCaprio,687,15643930,144,78.78655371882363,False,88.42941176,False,https://pbs.twimg.com/profile_images/694662257586892802/mdc5ELjj_normal.jpg,Actor and Environmentalist,None,None,Hot 🔥🔥🔥
billclinton,460,5659008,15,78.7865424173846,True,88.42911829,True,https://pbs.twimg.com/profile_images/451207149478096896/HoMUOmyu_normal.jpeg,"Founder, Clinton Foundation and 42nd President of the United States. Follow @clintonfdn for more on my work around the world.",None,clintonfdn,Hot 🔥🔥🔥
DalaiLama,1199,12826425,1,78.78638360360767,False,88.42900522000001,False,https://pbs.twimg.com/profile_images/529214699041067008/fqPBAr5s_normal.jpeg,Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.,None,None,Hot 🔥🔥🔥
BillGates,2090,29382739,170,78.78634790279334,True,88.42908984,True,https://pbs.twimg.com/profile_images/558109954561679360/j1f9DiJi_normal.jpeg,Sharing things I'm learning through my foundation work and other interests...,None,None,Hot 🔥🔥🔥
Pontifex,886,9535775,9,78.78634349788591,False,88.42896713,False,https://pbs.twimg.com/profile_images/507818066814590976/KNG-IkT9_normal.jpeg,Welcome to the official Twitter page of His Holiness Pope Francis,None,None,Hot 🔥🔥🔥
shakira,4072,38704175,180,78.7862910809419,False,88.42858529,False,https://pbs.twimg.com/profile_images/736696089521295360/F-5cSSKf_normal.jpg,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/oEZtqqavxC,LaBicicleta,CarlosVives,Hot 🔥🔥🔥
rogerfederer,1245,5700066,79,78.78582525755711,False,88.42625953000001,False,https://pbs.twimg.com/profile_images/711961869158711296/IVf9TtGK_normal.jpg,Professional tennis player,None,None,Hot 🔥🔥🔥
MichelleObama,769,5420031,10,78.78570575125339,False,88.42801247,False,https://pbs.twimg.com/profile_images/507610912933441538/HCKhYoBO_normal.png,This account is run by Organizing for Action staff. Tweets from the First Lady are signed -mo.,None,None,Hot 🔥🔥🔥
wernerherzog,7,66117,1,78.78544063028096,False,88.42859478,False,https://pbs.twimg.com/profile_images/55217415/wherzog_normal.jpg,"Werner Herzog has produced, written, and directed more than fifty films, published more than a dozen books of prose, and directed as many operas.",None,None,Hot 🔥🔥🔥
tinychat,571,1232871,5,78.78529528460659,False,88.42271492,False,https://pbs.twimg.com/profile_images/727174338588217344/Z9SN3LEx_normal.jpg,"Video Chat, Simple & Easy",None,None,Hot 🔥🔥🔥
BenAffleck,328,2426492,57,78.78469124769883,False,88.42691880000001,False,https://pbs.twimg.com/profile_images/3782523511/fc6c9a4523187aaf21d31c354f3a5638_normal.jpeg,"Director, actor, writer, producer and founder of Eastern Congo Initiative.",None,None,Hot 🔥🔥🔥
YouTube,16982,62894768,933,78.7841468434951,False,88.42503003,False,https://pbs.twimg.com/profile_images/745972205389897729/eXk9nE5R_normal.jpg,lol watch this,None,None,Hot 🔥🔥🔥
UNESCO,13302,1340684,1229,78.78377120755252,False,88.22681014,False,https://pbs.twimg.com/profile_images/685022521213726720/dA6Jz1EJ_normal.jpg,Building peace where it starts - in the minds of men & women. Follow our Director-General @IrinaBokova,None,IrinaBokova,Hot 🔥🔥🔥
JonahHill,1649,4990375,7,78.78349841852119,False,88.42455516000001,False,https://pbs.twimg.com/profile_images/686798785532530688/MPHLbaws_normal.jpg,"I wanted to start an official Twitter page to communicate with the awesome people who are interested in communicating with me. That means you, mom.",None,None,Hot 🔥🔥🔥
elonmusk,1989,4379639,52,78.78345128207397,False,88.42208484,False,https://pbs.twimg.com/profile_images/718273532438966274/j0h7TkOS_normal.jpg,"Tesla, SpaceX, SolarCity, PayPal & OpenAI",None,None,Hot 🔥🔥🔥
QueenRania,1548,5119022,40,78.78344958729708,False,88.42469734000001,False,https://pbs.twimg.com/profile_images/732124172034379776/7qaOYvX9_normal.jpg,A mum and a wife with a really cool day job الملكة رانيا العبدالله - المملكة الأردنية الهاشمية,None,None,Hot 🔥🔥🔥
Oprah,11284,33035914,262,78.78311028744861,False,88.42398692,False,https://pbs.twimg.com/profile_images/651445595081605121/0B67DmRf_normal.png,,None,None,Hot 🔥🔥🔥
iamjamiefoxx,2311,4678963,173,78.78278920637973,False,88.42015095,False,https://pbs.twimg.com/profile_images/463089630934339584/S7g1a_i2_normal.jpeg,Actor / Singer / Musician,None,None,Hot 🔥🔥🔥
